,date,sentiment,text
0,2019-08-25 08:48:51,negative,"RT @Josh_Rager: $ETH Update

Some have called this a mega opportunity, I continue to watch for a confirmed reversal

ETH has been unable to…"
1,2019-08-25 08:48:40,neutral,"RT @CryptoTownEU: 🚀 Airdrop : DeflaCoin
💰 Value : $ 50 + $ 5
💸 50 + 5 DEFL
🛡 Bot ETH 

📖 Step-by-step guide :
1. Talk with the telegram bot…"
2,2019-08-25 08:48:35,positive,"RT @DeFlashToken: 🔊Deflash TWITTER DROP
First 1000 ppl to win different tokens💵
NPXS,Jarvis,IG,HOT,AirdropToken,Samfins
0.1 ETH to 3 luckyW…"
3,2019-08-25 08:48:14,positive,Lucky deposit It was a great offer I think no one missed.Each of them works like a binance exchange.I hope in the f… https://t.co/ddVYgOIyIK
4,2019-08-25 08:48:12,positive,"RT @SynchroBit: Huge Airdrop Of 50 Synchrobit (SNB)

Like+Retweet With ETH Address

Every One Who Retweet Get 100 Holo (HOT) Coins

Join Ai…"
5,2019-08-25 08:48:09,positive,@BohacekLab @ETH_en She was absolutely delightful and so I am very glad to hear she enjoyed herself - it was fun to… https://t.co/3jCZAbrXLN
6,2019-08-25 08:48:01,neutral,"RT @bilium_cash: Airdrop Alert!!
All registered users earns 100,000,000 BLC

Name : BILIUM CASH
Symbol : BLC
*Total Supply : 200,000,000,00…"
7,2019-08-25 08:47:52,positive,"RT @CryptoNekoZ: Hey everyone, quick note for those that like buying stuff online. 

@curateproject is paying in $BTC $ETH and their token…"
8,2019-08-25 08:47:49,positive,"RT @TrinetToken: TRINET TOKEN 1,000,000,000 Airdrop for first 1000 people, 1,000,000 TRT EACH

TRINET TOKEN LISTING ON BITMEX

Follow
Retwe…"
9,2019-08-25 08:47:46,positive,"RT @airdropratingio: 🔹 EXCLUSIVE! Easily earn $8 FIN tokens (+ $0.5 per referral)
🔹 Only easy social tasks required. 
🔹 Expected to get lis…"
